,name
0,Azithral 500 Tablet
1,ACTEMRA 400 MG INJECTION
2,Amphonex 50mg Injection
3,Augmentin 625 Duo Tablet
4,Ascoril LS Syrup
5,Azee 500 Tablet
6,Aciloc 150 Tablet
7,Ascoril D Plus Syrup Sugar Free
8,Alex Syrup
9,Ambisome Injection
10,Allegra-M Tablet
11,Amphotret 50mg Injection
12,Apigat 2.5 Tablet
13,AMPHOMUL 50 MG INJECTION
14,Allegra 120mg Tablet
15,Ambilon 50mg Injection
16,Avil 25 Tablet
17,AB-Flo-N Tablet
18,Amfocan 50mg Injection
19,Amlokind-AT Tablet
20,Abhope 50mg Injection
21,Antiflu 75mg Capsule
22,Ampho B 50mg Injection
23,Anovate Cream
24,Apixabid 2.5 Tablet
25,Ampholyn 50mg Injection
26,Alprax 0.25 Tablet
27,AB Phylline Capsule
28,Atarax 25mg Tablet
29,Abiways Tablet
30,Azax 500 Tablet
31,Asthalin 100mcg Inhaler
32,Apigat 5 Tablet
33,Amoxyclav 625 Tablet
34,Acnesol Gel
35,ACTEMRA 200 MG INJECTION
36,ACTEMRA 80 MG INJECTION
37,Azicip 500 Tablet
38,Arkamin Tablet
39,AB Phylline N Tablet
40,Ambrodil-S Syrup
41,Ascoril SF Expectorant
42,Alkasol Oral Solution
43,Aciloc RD 20 Tablet
44,Amlokind 5 Tablet
45,Allegra 180mg Tablet
46,Alprax 0.5mg Tablet SR
47,Alex Cough Lozenges Lemon Ginger
48,Asthakind Expectorant Sugar Free
49,Ativan 2mg Tablet
50,Alzumab 25mg Injection
51,AB-Flo Capsule
52,Amfy 50mg Injection
53,Amaryl 1mg Tablet
54,Alzumab-L Injection
55,Asthakind-DX Syrup Sugar Free
56,Aldactone Tablet
57,Ativan 1mg Tablet
58,Alkasol Oral Solution Sugar Free
59,Azoran Tablet
60,Axcer  90mg Tablet
61,Ambrodil Syrup
62,Ascoril Plus Expectorant
63,Altraday Capsule SR
64,Althrocin 500 Tablet
65,Aztor 10 Tablet
66,Aptimust Syrup
67,AB Phylline SR 200 Tablet
68,Alfoo 10mg Tablet PR
69,Avil Injection
70,Asthalin Syrup
71,Aerocort Inhaler
72,Apixabid 5 Tablet
73,Augmentin Duo Oral Suspension
74,Ascabiol Emulsion
75,Azee 500 Tablet
76,AMPHOLIP 50 MG INJECTION
77,Amfy Gel
78,Azibact 500 Tablet
79,Aquasol A Capsule
80,Avomine Tablet
81,Anobliss Cream
82,Aceclo Plus Tablet
83,Arachitol 6L Injection
84,Aciloc 300 Tablet
85,Aldigesic-SP Tablet
86,Atarax 10mg Tablet
87,Amoxyclav 625 Tablet
88,Ambrodil-LX Syrup
89,Anafortan 25 mg/300 mg Tablet
90,Alaspan Tablet
91,Amfocare 50mg Injection
92,Almox 500 Capsule
93,Acitrom 2 Tablet
94,Azee 250 Tablet
95,Ampoxin 500 Capsule
96,Asprin Tablet DT
97,Atorva 40 Tablet
98,Akt 4 Kit
99,Amfy V  Vaginal gel
100,Amitone 10mg Tablet
101,Amaryl 2mg Tablet
102,AF Kit Tablet
103,Ampholip 100mg Injection
104,Azilide 500 Tablet
105,Acivir 400 DT Tablet
106,Amixide-H Tablet
107,Afogatran 110 Capsule
108,Anxit 0.5 Tablet
109,Anxit 0.25mg Tablet
110,Amphogard 50mg Injection
111,Asthakind-LS Expectorant Cola Sugar Free
112,Amlong Tablet
113,Ambrolite-S Expectorant
114,AB-Flo SR Tablet
115,Alex-L Cough Syrup Mango
116,Aten 50 Tablet
117,Adaferin Gel
118,Alzolam 0.25mg Tablet
119,Atarax Syrup
120,Amifru 40 Tablet
121,Angispan - TR 2.5mg Capsule
122,Azithral 200 Liquid
123,Amodep AT Tablet
124,Aziwok 500 Tablet
125,Alkem Amoxicillin 250mg Capsule
126,Amaryl M  1mg Tablet PR
127,ATM 500 Tablet
128,Azee 200mg Dry Syrup
129,Alex Syrup Sugar Free
130,Asthalin Respules
131,Amlovas 5 Tablet
132,Asthalin 4 Tablet
133,Avastin 100mg Injection
134,Akurit 4 Tablet
135,Amlodac 5 Tablet
136,Aquazide 12.5 Tablet
137,Augmentin 1000 Duo Tablet
138,Arcalion Tablet
139,Alupent 10mg Tablet
140,Augmentin 1.2gm Injection
141,Ascoril D Junior Cough Syrup
142,Auradex 4mg Tablet
143,Amrolstar Nail Lacquer
144,Amphomul 100mg Injection
145,Amlopres-AT Tablet
146,Allegra Suspension Raspberry & Vanilla
147,Ascoril C  Syrup
148,Acitrom 1 Tablet
149,Amlip 5 Tablet
150,Acemiz Plus Tablet
151,Atorva Tablet
152,Ascoril LS Junior Syrup
153,Asthakind-DX Syrup Sugar Free
154,Aziderm 20% Cream
155,Ajaduo 25mg/5mg Tablet
156,ACE  PROXYVON TABLET
157,Amaryl MV 2mg Tablet SR
158,Acnesol A Nano Gel
159,Ascoril Plus Expectorant
160,Azikem 500mg Tablet
161,Alkacitral Liquid
162,Atorlip-F Tablet
163,Aten 25 Tablet
164,Azeflo Nasal Spray
165,Aspirin 300mg Tablet
166,Acivir Cream
167,Acenac-P  Tablet
168,Actrapid HM 100IU/ml Penfill
169,Andre I-Kul Eye Drop
170,Aqua D3 2K Soft Gelatin Capsule
171,Aciloc RD 20 Tablet
172,Avastin 400mg Injection
173,Amlovas-AT Tablet
174,Azimax 500 Tablet
175,Aldactone 50 Tablet
176,Allercet-DC Tablet
177,AMPHOTIN 50 MG INJECTION
178,Alerfix Total Tablet SR
179,Acton-OR Tablet SR
180,AF 150 Tablet DT
181,Azulix 2 MF Tablet PR
182,Aztolet  10 Tablet
183,Azibest 500mg Tablet
184,Aldigesic P 100mg/325mg Tablet
185,Admenta 5 Tablet
186,Ambulax Tablet
187,Acogut Tablet
188,Avamys Nasal Spray
189,Aceclo-MR Tablet
190,Acuvin Tablet
191,Alaspan AM Tablet
192,Alerid Tablet
193,Asthalin AX Syrup
194,Avigan 200mg Tablet
195,AF 400 Tablet
196,Asomex 2.5 Tablet
197,Augmentin 375 Tablet
198,Ambrolite D Plus Syrup
199,Amtas 5 Tablet
200,Augmentin DDS Suspension
201,Azoflox UTI Tablet
202,Acecyst 600 Effervescent Tablet Orange
203,Almox-CV 625 Tablet
204,Azifast 500 Tablet
205,Adoxy LB Capsule
206,Azulix 1 MF Tablet PR
207,Amoxycillin 500mg Capsule
208,Atorva Tablet
209,Add Tears Lubricant Eye Drop
210,Adesam 400 Tablet
211,Acenac-MR Tablet
212,Azmarda 50mg Tablet
213,Ascoril LS Drops
214,Ano Metrogyl Cream
215,Azee 250 Tablet
216,Amrolstar Cream
217,Acemiz-S Tablet
218,Ambrolite Syrup
219,Ambrodil-Plus RF Syrup
220,Allegra Nasal Spray
221,Apdrops LP  Eye Drop
222,Alex Junior Syrup
223,Alerid-D Tablet
224,Atorlip 10 Tablet
225,Acivir 800 DT Tablet
226,Alzolam 0.5mg Tablet
227,Aztor Asp 75 Capsule
228,Air-M Tablet
229,Atorva 20 Tablet
230,Angiplat 2.5 Capsule TR
231,Atorva 20 Tablet
232,Amluck Cream
233,Absenz Syrup
234,Aprezo Tablet
235,Althrocin 250 Tablet
236,Albendazole 400mg Tablet
237,Amaryl M  2mg Tablet PR
238,Amikacin Sulphate 500mg Injection
239,Amlokind-L Tablet
240,Avil 50mg Tablet
241,Amaryl M  1mg Tablet PR
242,Amantrel Tablet
243,Actapro Tablet
244,Actrapid 100 IU/ml Flexpen
245,Arip MT 5 Tablet
246,Aerodil SF Expectorant
247,Assurans Tablet
248,Aerocort Rotacap
249,Akt 3 Kit
250,Azithral Tablet
251,Arcolane 2% Scalp Solution
252,Ambrodil-D Syrup
253,Acemiz -MR Tablet
254,Alfusin Tablet PR
255,Acogut Tablet
256,Andial 2mg Tablet
257,Abzorb Antifungal Soap
258,Alex P Syrup
259,Amtericin 50mg Injection
260,Atchol 10 Tablet
261,Albumin 20% Injection
262,Alex-L Cough Syrup Mango Sugar Free
263,Azivent 500 Tablet
264,Amaryl M  2mg Tablet PR
265,Amlosafe 5 Tablet
266,Aztor 20 Tablet
267,Aztor 40 Tablet
268,Azee 100mg Dry Syrup Peppermint
269,Acitrom 3 Tablet
270,Addnok 0.2mg Tablet
271,Apetamin Syrup
272,Amphotin Lip 50mg Injection
273,Alex Cough Lozenges Sugar Free
274,Amaryl M Forte 2mg Tablet PR
275,Amlosafe 3D Tablet
276,Alkacip Syrup
277,Auradex 8mg Tablet
278,Amodep 5 Tablet
279,Admenta 10 Tablet
280,Amlopres TL Tablet
281,Amlopres 5 Tablet
282,Amlong MT 50 Tablet PR
283,Amlong-A Tablet
284,Almox 250 Capsule
285,Amucoe Nac Tablet
286,Ascoril Flu Syrup
287,Alivher Tablet
288,Aclind BP 2.5% Gel
289,Azithral 250mg DT Tablet
290,Anaspas Tablet
291,Aquasurge  Eye Drop
292,Azax 250 Tablet
293,Amlip AT Tablet
294,Amlosafe-AT Tablet
295,Adalene Nanogel Gel
296,Ace-Proxyvon CR Tablet
297,Arpizol 5 Tablet
298,Amaryl MV 1mg Tablet SR
299,Abevmy 400mg Injection
300,Axogurd-SR Tablet
301,Ampilox Capsule
302,Amlogard 5mg Tablet
303,Apresol Tablet
304,Atropin Injection
305,Artificial Tears BP Eye Drop
306,Alkof Syrup
307,Ancool  Oral Suspension Sugar Free
308,Atorfit CV 10 Capsule
309,Avil Injection
310,Asthakind Expectorant Sugar Free
311,Ascodex Cough Syrup
312,AMPHOLIP 10 MG INJECTION
313,Arbitel 40 Tablet
314,Alprasafe 0.5mg Tablet
315,Azithral XL 200 Liquid
316,Atchol 40 Tablet
317,Aldosmin 500mg Tablet
318,Atarax Drops
319,Amlong 2.5 Tablet
320,Ascovent -SR Tablet
321,AD 100mg Capsule
322,Aricef O 200mg Tablet
323,Apidra 100IU Cartridge
324,Alerid Syrup
325,Adaple-C Gel
326,Ambrolite D Syrup
327,Acotrust  Tablet
328,Amlopin 5 Tablet
329,Acupat Ophthalmic Solution
330,Ajaduo 10mg/5mg Tablet
331,Amphoject 50mg Injection
332,Alburel 20gm Solution for Infusion
333,Acera-D Capsule SR
334,Anafortan-MF 50mg/250mg Tablet
335,Azitus 500 Tablet
336,Aziderm 10% Cream
337,Anorelief Cream
338,Avertol 12mg Tablet DT
339,Amphocil 100mg Injection
340,Amtas-AT Tablet
341,Amitone 25mg Tablet
342,Amfy Gel
343,Alprax Forte 0.5 mg/50 mg Tablet
344,A-Ret 0.1% Gel
345,AZILUP 500 MG TABLET
346,Amfotex 50mg Injection
347,Advent 625 Tablet
348,Aciloc Injection
349,Akurit-3 Tablet
350,Aricep 5 Tablet
351,Acogut 300 ER Tablet
352,Alciflox 500mg Tablet
353,A Kare Combipack
354,Amfitas 50mg Injection
355,Acitrom 4 Tablet
356,Anacin Tablet
357,ALERGIN L TABLET
358,Amitryn 10 Tablet
359,Amrox-LS Syrup
360,Acutret 20 Capsule
361,Anafortan Injection
362,All 9 NVP Tablet
363,Azipro 500 Tablet
364,Allercet Cold Tablet
365,Azithral 100 Liquid
366,Amnurite  10 Tablet SR
367,Anafortan Syrup
368,Actilyse 50mg Injection
369,Acnesol 1% solution
370,Amphocrit 50mg Injection
371,Arpizol 10 Tablet
372,Afoglip Tablet
373,Airz Capsule
374,Amlokind-H Tablet
375,Altraz Tablet
376,Acivir 200 DT Tablet
377,Amlovas-M 5/50 Tablet PR
378,Ascabiol Emulsion
379,Alfusin D Tablet ER
380,Azmarda 100mg Tablet
381,Asthalin Respirator Solution
382,Abhayrab Vaccine
383,Altacef 500 Tablet
384,Atormac CV10 Capsule
385,Azibact 500 Tablet
386,Atorva Asp 75 Capsule
387,Aceclo Sera 100mg/325mg/15mg Tablet
388,Aspisol 75 Tablet
389,Actapro OD Tablet
390,Amlong-H Tablet
391,Amlopres AT 25 Tablet
392,Asomex 5 Tablet
393,Aloja 25 Tablet
394,Angicam-Beta Tablet
395,Asthakind-P Drops
396,Anasure 5% Solution
397,Ascoril Plus LS Expectorant
398,Ambulax M Tablet
399,Alkof DX Syrup
400,Abel 40 Tablet
401,Amaryl M Forte 1mg Tablet PR
402,Acnedap Gel
403,Amlong 10 Tablet
404,Alzam 0.5mg Tablet
405,Apdrops PD Eye Drop
406,Ascapil 12A Tablet DT
407,AF-K Lotion
408,Adilip 135 Tablet DR
409,Alday 10mg Tablet
410,Androanagen Solution
411,Atonide Gel
412,Afogatran 150 Capsule
413,Actibile 300 Tablet
414,Atorva 80 Tablet
415,Arbitel-Trio 50 Tablet ER
416,Anabel Liquid Gel
417,Allercet-M Tablet
418,Ambronac Tablet
419,Amitone Plus Tablet
420,Asthalin 2 Tablet
421,Aplazar Tablet
422,Azopt Opthalmic Suspension
423,Aztogold 20 Capsule
424,Alcarex Eye Drop
425,Atorfit CV 10 Capsule
426,Asthalin DX Syrup
427,Actin Tablet
428,Aerocort Forte Rotacap
429,Allercet Tablet
430,Aquaviron Injection 1ml
431,Afogatran 75mg Capsule
432,Avas CV 10 Capsule
433,Anaflam TH  4  Tablet
434,Amitop 10 Tablet
435,Ambistryn-S 0.75gm Injection
436,Augpen 625 BID Tablet
437,Atocor 10 Tablet
438,Aphyren-N Tablet
439,A Doxid 100mg Tablet
440,Aldosmin 1000mg Tablet
441,Aqualube Eye Drop
442,Azithral 500mg Injection
443,Actapro Tablet
444,Augpen LB 625 Tablet
445,Alzil 5 Tablet
446,Amiject 500mg Injection
447,Adapen Gel
448,Amnurite  5 mg/1500 mcg Tablet
449,Anxipan Capsule
450,Akt 2 Tablet
451,Acnicin Gel
452,Abphylin 100mg Capsule
453,Acuvert Tablet
454,Aceclo Spas Tablet
455,Azilide 500 Tablet
456,Acular LS Ophthalmic Solution
457,AZR Tablet
458,Axcer  90mg Tablet
459,Acenext P 100 mg/500 mg Tablet
460,Adrenaline Tartrate Injection
461,Amtas-M 50 Tablet PR
462,Afdura Tablet ER
463,Acrotac 25mg Capsule
464,Aceclo SR Tablet
465,Azulix 2 MF Forte Tablet PR
466,Arvast 10 Tablet
467,Abd 400mg Tablet
468,Ambrodil Tablet
469,Amlopin-M Tablet PR
470,Arip MT 10 Tablet
471,Azoran 25 Tablet
472,Asthalin Plus Expectorant
473,Arbitel-AM Tablet
474,Atchol-F Tablet
475,Aceclo Tablet
476,Ambiship Injection
477,Akostol Tablet
478,Axepta 10 Tablet
479,Atorlip 20 Tablet
480,Ambrodil-XP Syrup
481,Avas 10 Tablet
482,Asthalin Rotacaps
483,Altonil 3mg Tablet
484,Antoxid E Softgel Capsule
485,Alphagan Z Ophthalmic Solution
486,Altonil 5mg Tablet
487,Amaryl 3mg Tablet
488,Actavir Tablet
489,Alkamax MB 6 Syrup
490,Atorlip-ASP 10 Capsule
491,Amlokind-AT Tablet
492,Ampilox CV 500 mg/125 mg Tablet
493,Ambrodil-XP Capsule
494,Atocor 40 Tablet
495,Amlozaar Tablet
496,Advent 228.5mg Dry Syrup
497,Atropine Sulphate Injection
498,Ambrolite Levo Syrup
499,AB2 Kit
500,Apdrops Eye Drop
501,Atorva Gold 20 Capsule
502,Ascoril D 12 Oral Suspension Orange
503,Amlokind 2.5 Tablet
504,Advamab 100mg Injection
505,AF 200 Tablet
506,Acebull A Tablet
507,Asomex-AT Tablet
508,Asthakind Tablet
509,Amicobal 10mg/1500mcg Tablet
510,Ambrodil-Plus Syrup
511,AB-Next Gel
512,Airtec FB 400 Instacap
513,Amlodac 2.5 Tablet
514,Aerodil-DX Syrup Sugar Free
515,Abrozac 100mg/600mg Tablet
516,Arflur-P Tablet
517,A-Ret 0.05% Gel
518,Anxiset 0.5 Tablet
519,Arvast-A 75 Capsule
520,Amicon 10 Tablet
521,Atraxin 25 Tablet
522,Amlozaar-H Tablet
523,Aztolet  20 Tablet
524,Atorlip 40 Tablet
525,AB Phylline Syrup
526,Acamprol Tablet
527,Azulix 3 MF Tablet PR
528,Alzil-M 5 Tablet
529,Aldactone 100 Tablet
530,Amlovas H  Tablet
531,Arflur 3D Tablet
532,Azithro 250mg Tablet
533,Amcard-AT Tablet
534,Adidox 100mg Capsule
535,Arpizol 2mg Tablet
536,Abvida-M 50mg/500mg Tablet
537,Azifine 500mg Tablet
538,Ascoril Plus Tablet
539,Alex Plus Paediatric Oral Drops
540,Airz-F Capsule
541,Afoglip M  500 Tablet ER
542,Alkaliser Syrup
543,Azee 500 Injection
544,Aten-D Tablet
545,Astymin-SN Infusion
546,Amlosafe TM 40 Tablet
547,Allegra 30mg Tablet
548,Angiwell 2.6mg Tablet
549,Anxit Plus 0.5 mg/25 mg Tablet
550,Ambulax-ET Tablet
551,Acotrust  Tablet
552,Aceloflam SP Tablet
553,Acutret 10 Capsule
554,Aldonil Tablet
555,Amifru Plus Tablet
556,Acnovate Gel
557,Amfocare 50mg Injection
558,Airz-FF Capsule
559,Aziwok 250 Tablet
560,Atchol 20 Tablet
561,Air 180 Tablet
562,Acnesol-NC Gel
563,Amlopres 5 Tablet
564,Aten AM Tablet
565,Atorlip Gold 10 Capsule
566,Alkashot B6 Oral Solution Delicious Pineapple Sugar Free
567,Aquazide 25 Tablet
568,Avas 40 Tablet
569,Arbitel-Trio 25 Tablet ER
570,Arzep Nasal Spray
571,Alerfix-M Tablet
572,Arbitel-H Tablet
573,Azithral Eye Ointment
574,Amlovas 2.5 Tablet
575,Akilos-P Tablet
576,Alensol-D Tablet
577,Afoglip M  500 Tablet ER
578,Amicline Tablet
579,Alprax Plus Tablet SR
580,Atorva F Tablet
581,Adesam 200 Tablet
582,Amrolstar Cream
583,Amicline Plus Tablet
584,Andre Plus Eye Drops
585,Amoxclav 500 mg/125 mg Tablet
586,Amicet 5 mg/60 mg Tablet
587,Aqualube Liquigel
588,Althrocin Liquid
589,Atorva Gold 10 Capsule
590,Atorlip Gold 20 Capsule
591,Acivir Eye Ointment
592,Advent Forte 457mg Syrup Tangy Orange
593,Abd Plus Tablet
594,Arimidex 1mg Tablet
595,Azibact 250 Tablet
596,Algina 650 Tablet
597,Amlopres-AT Tablet
598,Atarax 25mg Injection
599,ABHOPE 300MG TABLET
600,Amlopin-AT Tablet
601,Azilide 250 Tablet
602,Amcard 5 Tablet
603,Amoxyclav 375 Tablet
604,Azileb 500mg Tablet
605,Ambrodil-S Plus Syrup
606,Azitreat 500mg Tablet
