,items
0,lufenac SP 100mg/325mg/10mg Tablet
1,LU Gal 1% Cream
2,LU Koff Syrup
3,LUCEE CREAM
4,LUCEE CREAM
5,LUCEE CREAM
6,LUFI 250MG TABLET
7,LUPIBOSE 125 MG TABLET
8,LUPIDOM 10 MG TABLET
9,LUTICA (SUN) Lotion
10,Lu Af 1% Cream
11,Luact Cream
12,Lub Plus 0.5% Eye Drop
13,Lub Plus Gel Eye Drop
14,Lubactum 500mg/500mg Injection
15,Lubcar Eye Drop
16,Lubi 1% Eye Gel
17,Lubicon 200mg Capsule
18,Lubiford 1% Cream
19,Lubimoist Eye Drop
20,Lubina Eye Drop
21,Lubinak 0.5% Eye Drop
22,Lubirav-CMC Eye Drops
23,Lubistar 0.5% Eye Drop
24,Lubistar 1% Eye Drop
25,Lubistar-CMC 1% Eye Drop
26,Lubistar-CMC Eye Drop
27,Lubit 0.5% Eye Drop
28,Lubjoint Tablet
29,Lubowel 24 Soft Gelatin Capsule
30,Lubowel 8 Soft Gelatin Capsule
31,Lubox 0.5% Eye Drop
32,Lubrel 0.5% Eye Drop
33,Lubrex Eye Drop
34,Lubrex Uno 0.4ml Eye Drop
35,Lubrex-DS Eye Drop
36,Lubricart-D Tablet
37,Lubrifresh Eye Drop
38,Lubrifresh Gel
39,Lubrifresh Gel Eye Drop
40,Lubrigel Ocular Lubricant
41,Lubrijoint 500 Tablet
42,Lubrijoint 750 Tablet
43,Lubrijoint Activ Tablet
44,Lubrijoint OD Tablet
45,Lubrijoint Pro Tablet
46,Lubrimac Eye Drop
47,Lubrimed 1% Eye Drop
48,Lubrinac  Eye Drop
49,Lubrione 20mg Injection
50,Lubripad DM Tablet
51,Lubripad Tablet
52,Lubripill 50mg/750mg/250mg Tablet
53,Lubripin Lubricant Eye Drop
54,Lubripin PG Eye Drop
55,Lubriton 0.5% Eye Drop
56,Lubriton 0.5% Eye Drop
57,Lubriva Eye Drop
58,Lubrivis 0.5% Eye Drop
59,Lubriwyn Eye Drop
60,Lubrix 0.5% Eye Drop
61,Lubry-GM Tablet
62,Luby Eye Drop
63,Lucaf 1% Cream
64,Lucal 15mg Injection
65,Lucal 50mg Injection
66,Lucan 1% Cream
67,Lucan 1% Dusting Powder
68,Lucan 1% Dusting Powder
69,Lucanderm 1% Cream
70,Lucanderm 1% Lotion
71,Lucanderm IT 100mg Capsule
72,Lucanderm IT 200mg Capsule
73,Lucanderm IT 200mg Capsule
74,Lucant 0.5% Eye Drop
75,Lucanzo 1% Cream
76,Lucazol 100mg Capsule
77,Lucazol 50mg Capsule
78,Lucazole Cream
79,Lucci-One 1% Ointment
80,Lucemox 500mg/125mg Tablet
81,Lucemox Dry Syrup
82,Lucentis Injection
83,Lucepar 500mg Tablet
84,Lucepar 500mg Tablet
85,Lucet 5mg Tablet
86,Lucet M 5mg/10mg Tablet
87,Lucet M Kid 2.5mg/4mg Tablet
88,Lucet M Syrup
89,Lucetum 1000mg Injection
90,Lucetum Forte Injection
91,Lucetum TZ Injection
92,Lucicold-JR Oral Suspension
93,Lucidex Syrup
94,Lucigain 1% Cream
95,Lucigain 1% Cream
96,Lucigut Capsule PR
97,Lucika 1% Cream
98,Lucimac Cream
99,Lucimet GP 1mg/500mg Tablet SR
100,Lucimet GP 2mg/500mg Tablet SR
101,Lucipro 250mg Tablet
102,Lucipro 500mg Tablet
103,Lucipro D Eye/Ear Drops
104,Lucipro Eye Drop
105,Lucipro T Tablet
106,Luckcare 1gm Injection
107,Luclav 1000mg/200mg Injection
108,Luclips Cream
109,Luco 1% Ointment
110,Luco-Sense Cream
111,Luco-Sense Lotion
112,Lucoblock-LC Syrup
113,Lucoblock-LC Tablet
114,Lucoderm 25 Tablet
115,Lucoderm 5mg Tablet
116,Lucokan 150mg Capsule
117,Lucomark 1% Ointment
118,Lucon 150mg Capsule
119,Lucona 1% Cream
120,Luconet Cream
121,Lucort 6mg Tablet
122,Lucotica Cream
123,Lucotriz LC Kid 2.5mg/4mg Tablet
124,Lucotriz LC Syrup
125,Lucotriz-NS Nasal Solution
126,Lucoz 150mg Tablet
127,Lucoz Cream
128,Lucoz Cream
129,Lucoz Cream
130,Lucoz Lotion
131,Lucoz Lotion
132,Lucoz Powder
133,Lucozera Cream
134,Lucral O Oral Suspension
135,Lucrate 1000mg Oral Suspension
136,Lucrate O Oral Suspension
137,Lucrin Depot 11.25mg Injection
138,Lucrin Depot 3.75mg Injection
139,Lucrush Cream
140,Lucrush Cream
141,Lucy 150mg Tablet
142,Lucynta 100mg Tablet
143,Lucynta 75mg Tablet
144,Luczole 1% Cream
145,Ludemold 1% Cream
146,Ludemold 1% Lotion
147,Ludemold 1% Lotion
148,Luderm 1% Cream
149,Ludime 1000mg Injection
150,Ludoflu-F 250 CFC-Free Inhaler
151,Ludoflu-S 250 CFC-Free Inhaler
152,Ludoflu-S 250 CFC-Free Inhaler
153,Ludol 1% Cream
154,Ludolin CFC-Free Inhaler
155,Ludolin CFC-Free Inhaler
156,Ludonaze-BF 200 CFC-Free Inhaler
157,Ludonaze-BF 400 CFC-Free Inhaler
158,Ludura 50 Cream
159,Ludura Cream
160,Ludura Cream
161,Ludura Lotion
162,Lue 20 Cream
163,Luf 10mg Tablet
164,Lufacet M 5mg/10mg Tablet
165,Lufen Eye Drop
166,Lufi 500mg Tablet
167,Lufixcin 100mg/100mg Tablet
168,Lufixcin 200mg/200mg Tablet
169,Lufixcin 200mg/200mg Tablet
170,Luflux Cream
171,Luflux Cream
172,Luflux Soap
173,Lufo 150mg Tablet
174,Lufo 150mg Tablet
175,Lufran FX 10mg/120mg Tablet
176,Lufran L 5mg/10mg Tablet
177,Lufran L Syrup
178,Lufun 1% Cream
179,Lufungal 1% Cream
180,Lufungal 1% Dusting Powder
181,Lufungal 1% Dusting Powder
182,Lugail Cream
183,Lugail Lotion
184,Lugazole 1% Cream
185,Lugital-P Tablet
186,Lugital-SP Tablet
187,Lugonist Depot 3.75mg Injection
188,Luguard 1% Cream
189,Luhist 16mg Tablet
190,Luhon Cream
191,Luibet Cream
192,Luikyne 1% Cream
193,Luitor Cream
194,Luiz 10gm Oral Suspension
195,Luizole Cream
196,Luk 3D 10mg/5mg/200mg Tablet
197,Luka 5mg/10mg Tablet
198,Lukalov 5mg Tablet
199,Lukalov F 10mg/120mg Tablet
200,Lukalov M 5mg/10mg Tablet
201,Lukalov M Oral Suspension
202,Lukast 5 Tablet
203,Lukast L 10mg/5mg Tablet
204,Lukast L 5mg/10mg Tablet
205,Lukast LC 5mg/10mg Tablet
206,Lukast LC Kid 2.5mg/4mg Tablet
207,Lukast LC Syrup
208,Lukast-FX Chewable Tablet
209,Lukast-M Syrup
210,Lukast-M Tablet
211,Luke 1gm Injection
212,Luke 250mg Injection
213,Luke 500mg Injection
214,Luke S 250mg/125mg Injection
215,Luke T 1000mg/125mg Injection
216,Luke-S Injection
217,Lukidex XT Syrup
